Term,Definition,Vectorized_Term,Vectorized_Definition,Metadata,Synonyms,FAQ,FAQ_Response,Sample_User_Query,Query_Response
Association,"An entity formed to manage the day-to-day operation and long term interests of residential dwelling communities, including condo, co-op, and PUD projects. The HOA is typically created and vested with specific roles, responsibilities, and rights by the project’s legal documents in compliance with applicable laws. For Fannie Mae’s purposes, the term “HOA” includes a homeowners’ association, a common interest community association, a cooperative corporation, and other similar entities.",,,,,,,,
HOI,"Home Owner's (Hazard) Insurance. Insurance coverage that pays for the loss or damage on a person’s home or property (due to fire, natural disasters, etc.). This is usually added as a supplement to homeowners insurance.",,,,,,,,
Home Inspection,"A professional inspection of a home to determine the condition of the property. The inspection should include an evaluation of the plumbing, heating and cooling systems, roof, wiring, foundation and pest infestation.",,,,,,,,
Home Possible,"A Mortgage that offers underserved qualified Borrowers flexible underwriting, low down payment options and other special underwriting features. Home Possible Mortgages must be originated in accordance with Chapter",,,,,,,,
HomeReady,"Fannie Mae’s flexible, affordable lending product designed to meet the needs of low- to moderate-income homebuyers and homeowners. HomeReady is a standard product with underwriting recommendations available through DU and manual underwriting.",,,,,,,,
Housing Counselor,"A HUD-approved housing counselor is an experienced, trained professional who can advise you on avoiding foreclosure, buying a home, protecting your credit, and other issues. The U.S. Department of Housing and Urban Development (HUD) sponsors housing counseling agencies throughout the country and counseling is available in many languages.",,,,,,,,
HPML,High Priced Mortgage Loan.,,,,,,,,
HUD,U.S. Department of Housing and Urban Development. HUD-,,,,,,,,
1,No longer used settlement statement. Replaced by the CD (Closing Disclosure).,,,,,,,,
I Index Rate,An interest rate charged on loans to borrowers that is calculated by taking the sum of a benchmark index interest rate and a specified margin. The indexed rate is used to calculate the interest rate on an adjustable-rate mortgage (ARM).,,,,,,,,
Inflation,An increase in prices.,,,,,,,,
Inquiry,A request for a copy of your credit report. An inquiry occurs every time you fill out a credit application and/or request more credit. Too many inquiries on a credit report can hurt your credit score.,,,,,,,,
Installment Debt,"Borrowed money that is repaid in several successive payments, usually at regular intervals, for a specific amount and for a specified term (for example, an automobile loan or a furniture loan).",,,,,,,,
Interest,The cost you pay to borrow money. It is the payment you make to a lender for the money it has loaned to you. Interest is usually expressed as a percentage of the amount borrowed.,,,,,,,,
Interest Accrual Rate,"The percentage rate at which interest accrues on the mortgage. In most cases, it is also the rate used to calculate the monthly payments.",,,,,,,,
Interest Rate,"An interest rate on a mortgage loan is the cost you will pay each year to borrow the money, expressed as a percentage rate. It does not reflect fees or any other charges you may have to pay for the loan. For example, if the mortgage loan is for $100,000 at an interest rate of",,,,,,,,
Interest Rate Cap,"For an adjustable-rate mortgage (ARM), a limitation on the amount the interest rate can change per adjustment or over the lifetime of the loan, as stated in the note.",,,,,,,,
Interest Rate Change Date,The date on which the mortgage interest rate changes for an ARM; the date on which interest begins to accrue at a new rate for an ARM MBS pool.,,,,,,,,
IP,Investment Property (Property Type): Real Property owned to generate rental income. I/,,,,,,,,
O,Interest Only.,,,,,,,,
IRRRL,VA Interest Rate Reduction Refinancing Loan.,,,,,,,,
IRS,Internal Revenue Service.,,,,,,,,
ISAOA,Its Successors And/Or Assigns. This simply means the rights of the mortgagee can be transferred to any entity that purchases your bank (and subsequently now owns your mortgage) or that the bank can “assign” the rights of financial indemnity (in the event of a loss) to another company.,,,,,,,,
J Jumbo,A mortgage loan where the loan limit exceeds the FNMA/FHLMC maximum loan amount.,,,,,,,,
L Last Paid Installment Date,The due date of the last paid installment that had been collected for the mortgage.,,,,,,,,
Late Charge,A penalty that a borrower must pay when a mortgage payment is made a stated number of days (usually a minimum of,,,,,,,,
LCOR Limited Cash Out Refinance,"Replaces an existing mortgage with a new one, at a slightly higher loan amount. A refinance transaction in which the mortgage amount generally is limited to the sum of the unpaid principal balance of the existing first mortgage, closing costs (including prepaid items), points, and the amount required to satisfy any mortgage liens if the documented proceeds of the subordinate financing were solely used to acquire the property (if the borrower chooses to satisfy them), and other funds for the borrower’s use (as long as the amount does not exceed the lesser of $2000 or",,,,,,,,
LDP,Limited Denial of Participation.,,,,,,,,
LE,Loan Estimate (TRID document that replaced GFE). Government required disclosure of closing costs and other loan information.,,,,,,,,
Lender,"An organization or person that lends money with the expectation that it will be repaid, generally with interest.",,,,,,,,
Liabilities,Your debts and other financial obligations.,,,,,,,,
Lien,The right to keep possession of property belonging to another person until a debt by that person is repaid.,,,,,,,,
LLC Limited Liability Company,A flexible form of business enterprise that blends elements of partnership and corporate structures.,,,,,,,,
LLPA Loan Level Price Adjustment,"These are risk based fees; FICO/LTV adjustment. LLPAs are assessed based on certain eligibility or other loan features, such as credit score, loan purpose, occupancy, number of units, product types, etc. For whole loan transactions, LLPAs will be deducted from (or credited to) the loan proceeds.",,,,,,,,
LO,"Loan Officer/Originator. An individual who takes a residential mortgage loan application, and offers or negotiates terms of a residential mortgage loan for compensation or gain. Loan Administrator (Servicer): A mortgage banking function which includes the receipt of payments, customer service, escrow administration, investor accounting, collections, and foreclosures. Also called “servicing.”",,,,,,,,
Loan Estimate,A written statement from the lender itemizing the approximate costs and fees for the mortgage. A lender is required to provide potential borrowers with a loan estimate within three business days of receiving a loan application.,,,,,,,,
Loan Modification,This is a written agreement between you and your mortgage company that permanently changes one or more of the original terms of your note to make the payments more affordable.,,,,,,,,
Loan Origination Fees,Fees paid to your mortgage lender for processing the mortgage application. This fee is usually in the form of points. One point equals,,,,,,,,
Loan Processor,The individual who handles all the paperwork associated with closing your loan. Look-,,,,,,,,
Back Period,The date on which the index value that will be used to establish the next interest rate change for an ARM is determined. It is a specified number of days (at least,,,,,,,,
LOS,Loan Origination System or Learning Operating System.,,,,,,,,
LOX,Letter Of Explanation.,,,,,,,,
LP Loan Prospector LPC,Lender Paid Compensation.,,,,,,,,
LPI,Lender Placed Insurance.,,,,,,,,
LPMI Lender Paid Mortgage Insurance,"Mortgage insurance coverage for a conventional mortgage loan that the lender pays for by using its own funds, rather than requiring the borrower to include periodic accruals for such coverage as part of their mortgage payment.",,,,,,,,
LPOA Loan Prospector Open Access,Freddie Mac's business implementation of the Home Affordable Refinance Program. (HARP),,,,,,,,
LT Loan Term LTV,Loan To Value ratio. Mortgage Loan Amount divided by the lower of sales price or appraised value.,,,,,,,,
M Manually Underwritten Mortgage A Mortgage for which the Seller makes the determination regarding Borrower creditworthiness and excessive layering of risk that is one of the following,N/A,,,,,,,,
Market Exposure,"Also known as ""exposure,"" represents the amount an investor can lose from the risks unique to a particular investment.",,,,,,,,
Margin,Represents the amount of profit that is priced into the loan or it's the amount that is added to an index value to create the mortgage interest rate for an ARM. Margin is also an amount (expressed as a percentage) that is used in the calculation of the purchase price for an As Soon As Pooled transaction.,,,,,,,,
Market Value,The current value of your home based on what the purchaser would pay. An appraisal is sometimes used to determine market value. MBS/Pool/,,,,,,,,
Commitment Mortgage Backed Security,Group of loans being sold to an investor for a profit.,,,,,,,,
MERS,"Mortgage Electronic Registration Systems, Inc.: A national electronic registry system that tracks the changes in servicing rights and beneficial ownership interests in mortgage loans that are registered on the System.",,,,,,,,
MI Mortgage Insurance,Protects lenders against losses from defaults on home mortgages. (Required on loans with LTV above,,,,,,,,
MIC,Mortgage Insurance Certificate.,,,,,,,,
MIN MERS Identification Number,Number used to identify loans on the MERS Registry.,,,,,,,,
Minimum Borrower Contribution,"The minimum borrower contribution is an amount of funds described as a percentage that is generally required to be paid toward the down payment, closing costs, and financial reserves. The contribution may be required from the borrower’s own funds or in some cases from other eligible sources of funds.",,,,,,,,
MIP Mortgage Insurance Premium,FHA mortgage insurance monthly fee paid by borrower.,,,,,,,,
MIR Mortgage Interest Rate,"The rate of interest in effect for the periodic installment due. For fixed-rate mortgages or for ARMs that have an initial fixed-rate period, it is the rate in effect",,,,,,,,
Modification,The act of changing any of the terms of the mortgage by agreement between the borrower and the note holder.,,,,,,,,
Monthly Operating Income,Income from the rental of an investment property that is determined by reducing the annual effective gross income for the property by the annual operating expenses and dividing the result by,,,,,,,,
Monthly Payment,The monthly payment of principal and interest collected by mortgage lenders. This may also include escrow items for taxes and insurance and is therefore called the housing payment.,,,,,,,,
Mortgage,A legal document that pledges property to the mortgage company as security for the repayment of the loan. The term is also used to refer to the loan itself.,,,,,,,,
Mortgage Credit Report,"A credit report times three! Since a mortgage loan is for a substantially larger amount and for a longer time frame than most loans, there is more is at risk for the lender. Therefore, to qualify for a mortgage more information is required in the underwriting process than for a credit card or auto loan.",,,,,,,,
Mortgagor,The borrower of a mortgage loan that grants the lender an interest in the property.,,,,,,,,
Mortgagee,The lender in a mortgage that is secured by real property.,,,,,,,,
Mortgage Interest Rate Ceiling,"For an ARM, the maximum interest rate over the life of the loan. It is determined by applying a “lifetime cap” to the initial mortgage interest rate.",,,,,,,,
Mortgage Note,The note or other evidence of indebtedness for a mortgage loan.,,,,,,,,
MSA Master Service Agreement,"A contract reached between parties, in which the parties agree to most of the terms that will govern future transactions or future agreements.",,,,,,,,
MSA,"Metropolitan Statistical Area. Core area containing a substantial population nucleus, together with adjacent communities having a high degree of economic and social integration with that core. Multi-",,,,,,,,
Dwelling Units,"Properties that provide separate housing units for more than one family, although they secure only a single mortgage; e.g., two to four units. N",,,,,,,,
NBI,Non-Borrowing Individual.,,,,,,,,
NCUA National Credit Union Administration,The regulator of the credit union industry.,,,,,,,,
Negative Amortization,"An increase in the principal balance of a loan caused by making payments that fail to cover the interest due. The remaining amount of interest owed is added to the loan's principal, which ultimately causes the borrower to owe more money.",,,,,,,,
Net Cash Flow,"The income that remains for an investment property after the monthly operating income is reduced by the monthly housing expense (which includes PITI for the mortgage, homeowners’ association dues, leasehold payments, and subordinate financing payments).",,,,,,,,
Net Monthly Income,Your take-home pay after taxes. It is the amount of money that you actually receive in your paycheck.,,,,,,,,
Net Mortgage Ceiling,The mortgage ceiling for an adjustable-rate mortgage after the minimum servicing fee has been subtracted.,,,,,,,,
Net Mortgage Margin,The mortgage margin shown in the ARM note and rider after the minimum servicing fee has been subtracted.,,,,,,,,
Net Worth,The value of all of a company’s (or individual’s) assets—including cash—less its total liabilities. It is used to indicate financial strength.,,,,,,,,
NMLS,Nationwide Multistate Licensing System aka Nationwide Mortgage Licensing System and Registry. Non-Arm',,,,,,,,
s Length Transaction,Purchase transactions in which there is a relationship or business affiliation between the seller and the buyer of the property. Non-,,,,,,,,
Borrowing Spouse,"The spouse, as determined by the law of the state in which the spouse and mortgagor reside, or the state of celebration, of the HECM (Home Equity Conversion Mortgage) mortgagor, at the time of closing, and who is not a mortgagor. Non-Conforming (Loan): A loan that does not meet FNMA or FHLMC guidelines. Non-Owner Occupied (Occupancy Type): Real Property the borrower does not intend to occupy.",,,,,,,,
NPI Nonpublic Personal Information O OBA,Online Broker Application.,,,,,,,,
OFAC,"Office of Foreign Assets Control. Administers and enforces economic and trade sanctions based on US foreign policy and national security goals against targeted foreign countries and regimes, terrorists, international narcotics traffickers, those engaged in activities related to the proliferation of weapons of mass destruction, and other threats to the national security, foreign policy or economy of the United States.",,,,,,,,
Offer,A formal bid from the homebuyer to the home seller to purchase a home.,,,,,,,,
Origination Fee,Fee charged by Broker/Loan Officer to generate income. Owner Occupied (Occupancy Type): The borrower(s) intend to live in the home.,,,,,,,,
P PA,Processor Assist PA -,,,,,,,,
Purchase Agreement,A legal contract that obligates a buyer to buy and a seller to sell a product or service. SPAs (Sales And Purchase Agreements) are found in all types of businesses but are most often associated with real estate deals as a way of finalizing the interests of both parties before closing the deal. P &,,,,,,,,
I,Principal and Interest. P &,,,,,,,,
L,Profit and Loss.,,,,,,,,
Pay Advantage,UWM's definition of Lender Paid Mortgage Insurance (LPMI).,,,,,,,,
Payment Change Date,The date on which the payment changes for an ARM; the effective date that a new amount is due from a borrower. It must fall in the month immediately following an interest rate change date (unless an ARM provides for the monthly payment to change more frequently than the interest rate).,,,,,,,,
Payment Shock,"A sudden, large increase in the monthly mortgage payment as a result of an adjustable-rate mortgage or through a refinance with new financing terms.",,,,,,,,
Payoff,"Satisfying the terms of the mortgage by paying the total amount of the debt. In regards to paying off early, the whole mortgage gets completely paid off before the end of the term, principal and interest.",,,,,,,,
Paystub,"A paystub, pay slip, pay advice, paycheck notice, or payroll earnings statement is a document produced by the borrower's employer and provided to the borrower that evidences the borrower's income. Paystubs typically detail the gross income and all taxes and other deductions, such as retirement plan contributions, insurance, garnishments, or charitable",,,,,,,,
PITI,"Principal, Interest, Taxes, Insurance. (Payment)",,,,,,,,
PITIA,"Principal, Interest, Taxes, Insurance and Association Dues.",,,,,,,,
PIW,Property Inspection Waiver.,,,,,,,,
PMI Private Mortgage Insurance,Protects lenders against losses from defaults on home mortgages. (Required on loans with LTV above,,,,,,,,
POA,Power Of Attorney.,,,,,,,,
POC,Paid Outside of Closing.,,,,,,,,
Pooling,Combining loans based on similar characteristics to sell to an investor. Pre-,,,,,,,,
Approval,"Pre-approval is a bigger step than pre-qualification, but it is a better commitment from the lender. This involves completing a mortgage application and providing the lender with your income documentation and personal records. If you qualify for a mortgage, the lender will be able to provide the amount of financing and the potential interest rate (you might even be able to lock in the rate). You’ll be able to see an estimate of your monthly payment (before taxes and insurance because you haven’t found a property yet). Pre-",,,,,,,,
Qualification,"With pre-qualification the lender provides the mortgage amount for which you may qualify. Pre-qualifying can help you have an idea of your financing amount (and the process is usually quick and free), but you won’t know if you actually qualify for a mortgage until you get pre-approved.",,,,,,,,
Primary Conversion,Refers to the borrower purchasing a new primary and changing the existing primary into a rental property. Primary (Mortgage),,,,,,,,
Market,"The market where borrowers and mortgage originators (brokers) come together to negotiate terms and execute a mortgage transaction. Mortgage brokers, mortgage bankers, credit unions and banks are all part of the primary mortgage market.  Primary Residence (Property Type): The home the borrowers live in day to day. (Not a vacation home.) Primary/",,,,,,,,
Secondary Spread,The primary-secondary spread is the difference between mortgage rates for borrowers and yields on newly issued agency mortgage backed securities (MBS). Typically shown as basis points (bps) – a proxy for the profit embedded in the secondary mortgage market.,,,,,,,,
Prime Rate,The Prime Rate is the interest rate charged by banks to their most creditworthy customers. Principal (Balance): Loan amount due.,,,,,,,,
Promissory Note,A legally binding document stating that the borrower promises to repay the lender for the full loan amount plus interest.,,,,,,,,
Property Insurance,Insurance which protects the insured against loss or damage to their property when the loss or damage is caused by a covered peril.,,,,,,,,
Property Taxes,"The amount individuals pay to their local city/municipality and sometimes county, based on the value of their property.",,,,,,,,
PUD Planned Unit Development or Property Under Development,A project or subdivision that consists of common property and improvements that are owned and maintained by an HOA for the benefit and use of the individual PUD unit owners. The unit owners in the project have title to a residential property (lot and structure) and an interest in the HOA that owns or manages the common areas and facilities of the PUD.,,,,,,,,
Purchase Agreement,A real estate sales contract.,,,,,,,,
Q QCD,Quit Claim Deed - A legal instrument which is used to transfer interest in real property.,,,,,,,,
QM,"Qualified Mortgage - A category of loans that have certain, more stable features that help make it more likely that you'll be able to afford your loan.",,,,,,,,
QRM,Quantitative Risk Management. This is the model we use for monitoring and managing our interest rate risk.,,,,,,,,
R Rate Lock,An agreement between a borrower and a lender that allows the borrower to lock in the interest rate on a mortgage over a specified time period at the prevailing market interest rate.,,,,,,,,
RD,"Rural Development. A government agency within the U.S. Department of Agriculture (USDA) that makes direct loans and guarantees mortgages secured by residential properties located in rural areas, concentrating on borrowers who meet income eligibility requirements. Formerly the Rural Housing Service (RHS).",,,,,,,,
Recast,"In a recast, the borrower makes a substantial payment to reduce the loan balance. The lender then recalculates the monthly payment based on the lower balance, using the same interest rate and time remaining under the original mortgage terms.",,,,,,,,
Refi,"Refinance. To finance again, typically with a new loan at a lower rate of interest.",,,,,,,,
Related Person A person that is any of the following,"• The Borrower's spouse, child or dependent • An individual related to the Borrower by blood, marriage or adoption • A guardian of the Borrower • A person for whom the Borrower is a guardian • The Borrower's ﬁancée or ﬁancé • The Borrower's domestic partner • An unrelated individual with close, family-",,,,,,,,
like ties to the Borrower REIT,Real Estate Investment Trust.,,,,,,,,
Relative,"The borrower’s spouse, child, or other dependent or any other individual who is related to the borrower by blood, marriage, adoption, or legal guardianship.",,,,,,,,
REMIC Real Estate Mortgage Investment Conduit,A type of multi-class mortgage-related security in which interest and principal payments from mortgages or mortgage-related securities are structured into separately traded securities.,,,,,,,,
REO,Real Estate Owned. Other real estate owned by the borrower (such as an investment property).,,,,,,,,
Repurchase,Investor forces a lender to repurchase a loan if the loan does not comply with sales terms.,,,,,,,,
RESPA,Real Estate Settlement Procedures Act. Consumer protection statute to help consumers become better shoppers for mortgage settlement services.,,,,,,,,
Revolving Debt,An arrangement for credit in which the customer receives purchases or services on an ongoing basis prior to payment. Repayment is usually at regular intervals but not for a specified amount or term.,,,,,,,,
Example,charge cards.,,,,,,,,
S Sales Contract,"A contract for the purchase/sale, exchange, or other conveyance of real estate between parties. The contract must be in writing, contain the full names of the buyer(s) and seller(s), identify the property address or legal description, identify the sales price, and include signatures by the parties. Sales contracts are also known as agreements of sale, purchase agreements, or contracts for sale.",,,,,,,,
Scheduled Interest,Scheduled Interest is the monthly interest scheduled to be paid under the amortization schedule applicable to the Mortgage.,,,,,,,,
Scheduled Principal,Scheduled Principal is the monthly principal scheduled to be paid under the amortization schedule applicable to the Mortgage.,,,,,,,,
SEC,Securities and Exchange Commission.,,,,,,,,
Second Mortgage,A mortgage loan that has a lien position subordinate to the first mortgage. Also called subordinate lien mortgage loan. Secondary (Mortgage),,,,,,,,
Market,"The Secondary Mortgage Market is where home loans and servicing rights are bought and sold between lenders and investors. Most home loans in the US are eventually sold to the secondary mortgage market. When a consumer obtains a home loan, that loan is underwritten, funded and serviced by a bank or lending institution.",,,,,,,,
Securitization,"Securitization is the process of taking a liquid asset, or group of assets, and through financial engineering, transforming them into a security.",,,,,,,,
Security,"A financial instrument that represents an ownership position in a stock, bond, or option.",,,,,,,,
Servicer,An approved servicer that is contractually obligated to service one or more mortgage loans for Fannie Mae. Also refers to a subservicer if there is a subservicing arrangement.,,,,,,,,
Servicing Fee,"The monthly fee, generally expressed in basis points, that a lender retains from borrowers’ interest payments as compensation for servicing loans on an investor’s behalf. SEV/",,,,,,,,
State Equalized Value,The assessor is constitutionally required to set the assessed value at,,,,,,,,
SFC,Special Feature Code. FNMA coding for loan attributes.,,,,,,,,
Short Sale,Net proceeds from selling the property will fall short of the debts secured by liens against the property.,,,,,,,,
SSR,"All appraisals uploaded to the Uniform Collateral Data Portal (UCDP) receive a Submission Summary Report (SSR) for each GSE submission. The SSR contains a summary of the appraisal submission(s) for each loan, the status of the submission(s), and a Document File Identifier (Doc File ID), which is the unique appraisal identifier generated by the UCDP. One Doc File ID is assigned per loan and is the same for delivery to either GSE. Lenders deliver a Doc File ID to the GSE’s loan delivery system as part of the loan delivery process. When an appraisal is required to be submitted to the UCDP, the lender must receive a ""Successful"" status on the SSR before the loan is delivered to the GSE.",,,,,,,,
Subordinate Financing,"Subordinate financing implies that the debt ranks behind the first secured lender, and means that the first secured lender will be paid back before subordinate.",,,,,,,,
Success Track,A platform where our external clients can sign-up and join training classes on how best to utilize tools and how best to work with UWM. (Success Track combines UWM’s comprehensive mortgage expertise and award-winning training methods in a series of courses dedicated to championing the success of brokers everywhere.),,,,,,,,
Survey,"Determines the boundary lines and accurate measurements of a specific parcel, lot or acreage. T Tick/",,,,,,,,
BPS,The minimum upward or downward movement in the price of a security. A tick equals,,,,,,,,
TIL,Truth In Lending disclosures. TRID replaced the TIL disclosures with the LE and the CD.,,,,,,,,
TILA,"Truth In Lending Act. Title I of the Consumer Credit Protection Act. Federal law that requires disclosure of a truth-in-lending statement for consumer loans. The statement includes a summary of the total cost of credit, such as the APR and other specifics of the loan.",,,,,,,,
Title,The documented evidence that a person or organization has ownership of real property.,,,,,,,,
Title Insurance,"Protects an owner's or a lender's financial interest in real property against loss due to title defects, liens or other matters.",,,,,,,,
Title Search,"Reviewing documents evidencing the history of a piece of real property, to determine relevant interests in and regulations concerning that property.",,,,,,,,
TLTV,Total Loan To Value ratio. Principal balances of all loans on property divided by the lower of property sale price or property appraised value.,,,,,,,,
Tolerance Cure,"If any charges at settlement exceed the charges listed on the LE by more than the permitted tolerances, the loan originator may cure the tolerance violation by reimbursing to the borrower the amount by which the tolerance was exceeded, at settlement or within",,,,,,,,
Tradeline,"The type of credit obligation and its associated information, such as date opened, balance and periodic payment history, that is typically listed on a credit report.",,,,,,,,
Transfer of Ownership,"Includes, but is not limited to, the conveyance of the Mortgaged Premises or any right, title or interest in the Mortgaged Premises, whether legal or equitable, voluntary or involuntary,",,,,,,,,
by any of the following methods the sale or other transfer of the Cooperative Interest TRID,TILA RESPA Integrated Disclosure rule. Requires the LE and CD.,,,,,,,,
U UCC,Uniform Commercial Code. The body of laws governing commercial transactions in the U.S.,,,,,,,,
UCC1 Statement,Describes property taken as collateral from a borrower. Required to be filed in public records to record security interest in the property. UCD -,,,,,,,,
Uniform Closing Dataset,"The Uniform Closing Dataset (UCD) is a common industry data set that allows information on the Consumer Financial Protection Bureau’s (CFPB’s) Closing Disclosure to be communicated electronically. It was developed by Freddie Mac and Fannie Mae (the GSEs) at the direction of our regulator, the Federal Housing Finance Agency (FHFA). The UCD file format is the same for both GSEs; however, the data collection method will be specific to each GSE. The UCD XML file must be submitted for all loans delivered to the GSEs with a Note Date on or after September",,,,,,,,
0,"Kicking off the closing process is in the broker's hands! With just six clicks, you can schedule your closing and deliver your title prep package to the settlement agent.",,,,,,,,
UETA,Uniform Electronic Transactions Act. Law establishing (and allowing) electronic record keeping and electronic execution of certain transactions previously requiring ink signature.,,,,,,,,
UFMIP,Up Front Mortgage Insurance Premium.,,,,,,,,
ULDD,Uniform Loan Delivery Dataset. Common data elements for delivery of loan information to FNMA and FHLMC.,,,,,,,,
UPB,Unpaid Principal Balance.,,,,,,,,
URLA,Uniform Residential Loan Application. Mortgage Loan Application. FNMA Form,,,,,,,,
USDA,United States Department of Agriculture.,,,,,,,,
Underwriting Documents,"All of the documentation used to support the lending decision for a mortgage—such as the loan application and other documents used to verify a borrower’s employment, income, deposits, and credit history.",,,,,,,,
Underwriting Score,The one Credit Score selected from all usable Credit Scores obtained for an individual Borrower that quantifies the credit reputation risk for that individual Borrower. The related ULDD Data Point name is Credit Score Value.,,,,,,,,
UW,"Underwriting. In mortgage banking, the analysis of the risk involved in making a mortgage loan to determine whether the risk is acceptable to the lender. Underwriting involves the evaluation of the property as outlined in the appraisal report and of the borrower’s ability and willingness to repay the loan.",,,,,,,,
V VA,U.S. Department of Veterans Affairs. Agency that issues VA loans.,,,,,,,,
Variable Rate,An interest rate that changes periodically in relation to an index.,,,,,,,,
VLIP Very Low Income Purchase VOD,N/A,,,,,,,,
VOE Verification Of Employment,To verify eligibility to borrow. (See ability to repay.),,,,,,,,
VOI,Verification Of Income.,,,,,,,,
VOIP Voice Over IP,(Internet Protocol)Telephone connectivity in modern business.,,,,,,,,
VOM,Verification Of Mortgage. Credit verification.,,,,,,,,
VOR,Verification Of Rent. Credit verification.,,,,,,,,
VVOE,Verbal Verification Of Employment. Verbal VOE. (Just before closing to ensure continued eligibility.) W W-,,,,,,,,
2,IRS Form W-2 reports annual wage earner income.,,,,,,,,
Warehouse Bank,"Warehouse lending is a line of credit given to a loan originator to pay for a mortgage the borrower used to purchase property. The life of the loan generally extends from its origination to the time it is sold into the secondary market, either directly or through securitization.",,,,,,,,
Warranty Deed,A deed that guarantees clear title to the buyer of real property.,,,,,,,,
Wholesale,Wholesale banking or lending deals with larger institutions.,,,,,,,,
WVOE,Written Verification of Employment.,,,,,,,,
Y YSP,"Yield Spread Premium. The money or rebate paid to a mortgage broker for giving a borrower a higher interest rate on a loan in exchange for lower up front costs, generally paid in origination fees, broker fees or discount points.",,,,,,,,
Z Zoning Ordinances,"Local laws that establish building codes and usage regulations for properties in a specified area. This creation of districts specifies different types of property uses, such as commercial or residential.",,,,,,,,
